# Belize transact 1
# loggerID,gpsN,gpsW,direction
002,17.15902,-88.85773,W
003,17.15917,-88.85583,W
004,17.15917,-88.85583,E
005,17.15935,-88.85215,E
006,17.15935,-88.85215,W
008,17.15927,-88.85398,E
009,17.15902,-88.85773,E
011,17.15943,-88.85028,W
013,17.15927,-88.85398,W
